time,phoneme,F1,F2,F3
435.41004863240687,,367.75884292873894,1786.8743333283346,2755.0286053403565
435.4550358025859,ɛ,365.93083607968913,2003.381204528033,2880.192128132848
435.8699583259353,,1318.3880303212961,2486.0324429224834,3660.828941443964
436.28920653872495,ɩ,268.34654948289176,2313.8806431241183,3147.104995101859
436.40365355471954,,235.56023810839983,1978.368984500143,2526.607670511382
436.5057398255103,ɛ,418.2119089239102,1562.9277282295534,2434.823718827958
436.5375011125975,,362.56660451710076,1608.3357114618482,2670.154542519229
436.58508369644073,ɛ,417.1364811538644,1796.1780513755916,2571.6179465069326
437.0542070430524,,1237.2064916818942,2281.6415071038978,3185.284274305891
437.5076764718763,ɛ,398.05926850101116,1695.9591253823153,2905.274810743427
437.5411677059254,,319.79663499341643,1701.8592194064265,2504.0433562090384
437.58556306268804,ɛ,393.0630184439287,2031.4574598152199,2778.708635569272
449.28720444829867,,1038.838420427268,2158.5875372399273,3346.478954572571
460.99458487168533,ɔ,541.2556185893839,998.0539252818385,3130.1459989700397
461.051302495148,,451.7413219364734,1344.4705294484263,2677.4046133511956
461.10080151198804,ɔ,606.3015891895134,1410.2388694043862,2469.183765615479
461.1977370866333,,370.9363116734462,1507.878222827087,3096.5994918838696
461.3183909401811,ɛ,552.6924589604969,2062.0832924418596,3296.5584360878274
461.9301426752804,,1182.820424222263,1546.1446589005823,2948.7555340833082
462.5150824429247,ɔ,514.7073492790216,1099.8851494087235,3167.472657613693
462.5583940826598,,456.9754949139068,1343.8928450193512,2696.7751195782553
462.6099555585349,ɔ,571.493831593052,1425.2837225853116,2886.1227357768885
462.7007037560751,,577.0718971621159,1578.255890084947,2991.862174184556
462.8058891668603,ɛ,541.9422543533603,2022.1029564348582,2247.694577285684
463.2344071430193,,615.8156810525669,1440.9780049860951,2680.5566824085595
463.64122821700226,ɔ,471.1611028920155,1152.3248299542179,3232.07124342144
463.6903937133126,,412.203967402826,1336.0244947807992,2628.4511029121063
463.7378302711177,ɔ,509.8318053453951,1384.204718666762,3191.8739160256546
463.82420728682257,,305.9728255837638,1607.7717356623536,2916.8526522281404
463.92474446903634,ɛ,537.6970989226905,1987.1168947983454,3406.750511507128
483.82705416328247,,988.8684231076292,1291.8570155258785,2102.163512776255
503.72309549664254,ɩ,358.15650969804324,2257.449658337987,2432.598287648867
503.79884335068044,,235.62846790920364,1581.2297628214878,2427.156426696753
503.8700004256857,ɔ,516.5167981659779,1207.490473637635,3033.568588574004
503.9262374688351,,462.9749631051124,1646.5120962100266,2674.094679048612
503.9847699015007,ɔ,545.7000987533871,1888.3872012386996,2631.5179027698923
504.0582223660224,,329.5451198145469,1311.7765054283834,2086.0416878008195
504.13970869385105,ɛ,505.6588758704377,2157.3176810144673,2948.048666497948
504.6901930129352,,632.1154677085751,1738.5246399999355,3050.0938769229247
505.230348079196,ɩ,383.1728789472865,1328.4808030450831,2557.5965368204593
505.30857419214175,,229.59231917143254,1292.6026926712375,2529.4581980958583
505.3877651304541,ɔ,472.6413529559487,1172.574172157113,2643.6432413401703
505.4403762199375,,437.12496700697494,1583.294417384143,2416.186402042728
505.4931701788124,ɔ,484.9857781150914,1778.1881271775253,2944.9467028837244
505.57236111712473,,335.30102473583503,1580.7406515789473,2915.7584313487
505.6618813082605,ɛ,514.5620405042067,2037.8850787330255,3127.352913026459
506.102603233844,,1129.2275293365037,2144.533222540105,3164.8665680956306
506.5480418277514,ɩ,350.0671804802921,1976.3324813123236,2833.304709829899
506.627819411377,,233.67983289082596,1368.9612654725165,2476.290739663988
506.69723626985643,ɔ,443.2943086894466,1224.6212978310466,2819.403562541876
506.74800382307274,,329.7551257050634,1501.99055424218,2746.5502794147724
506.7956631587451,ɔ,494.56950718790443,1764.7842648594985,2885.4403436279476
506.8733685973415,,339.35459598362814,1731.1883584201225,2972.4855033998074
506.9603986885694,ɛ,481.09175709613174,2070.170605820133,2979.5444983183193
523.8518735996775,,334.88025180734786,1100.044223546981,2649.548131575464
540.7402594086102,a,616.9204343420893,1568.9080808898398,2761.4913572467635
