time,phoneme,F1,F2,F3
478.18214790430034,,348.22436338268034,1621.4776793934377,2470.4245294164757
499.11898910130196,a,686.4946311551521,1532.1622835004034,2068.6007987827793
499.60847736468895,,983.2488340969184,1695.9203166498278,2629.731424149831
500.11879030773525,a,700.9167910944894,1580.776820174299,2296.273390141777
500.62699396941923,,1079.09947884375,1904.0643818088618,2906.328147862527
501.1181592568364,a,668.5390739406993,1583.6720049584173,2176.5375884294554
513.0051838174279,,274.28946783481274,1153.524652193639,2346.296346618649
524.9035191509812,a,762.8641630330222,1547.0131452302512,1837.7334924252364
525.4610072206845,,385.65398788629847,1434.003957432817,2151.3567658907664
526.0282685554494,a,784.7258300872176,1536.6213057279138,2072.6479482076115
526.5061812169611,,556.6945509901348,1356.1369699928362,1850.5666222773893
526.9831165519668,a,734.5180243946167,1436.0214827936218,1950.0233080644082
536.9128844860854,,451.4353479457523,1497.9121016552233,2750.6328836903103
546.8306378876209,a,602.14861106294,1461.939574937494,1912.1993479154141
547.367045094165,,267.718345866465,1449.1891976076718,2480.925245254611
547.8999489405951,a,648.5844665259673,1555.9099764531911,2127.4673759212424
548.3902227610354,,1240.7224054614878,2180.2115085472633,3253.133527398487
548.8805274480848,a,733.2953951165955,1458.9730913518856,1800.3757818524925
558.6022582008729,,286.42535055927704,481.6645454933311,2453.0078109293527
568.3448329205154,a,793.7160964859567,1722.0049415943654,3145.5409517259945
568.8971993081699,,308.776960632954,1347.1562034919573,2399.8054756998713
569.4495656958244,a,547.5348842474099,1393.6095845783673,1723.5151415356258
569.9234304004789,,1050.7228302267627,1679.253689634496,2629.60534771768
570.3930131951515,a,660.5587028765461,1305.6809230797119,1763.75891882604
575.0663415279305,,406.087911941308,1220.7091150564543,2405.497905095088
579.7415023566339,a,658.8123329898251,1339.4721781006306,1807.7370847130326
580.0234758018657,,325.8425821152338,1255.894733080453,2242.5917100061733
580.2988357974227,a,617.7372863805146,1433.4000354787254,1828.4029713079528
588.0232146744797,,859.8831831387126,1770.9529894862378,3012.678010139698
595.7480082913767,a,676.3208393200545,1548.5534530898562,2185.6677076076135
595.8629293646211,,406.85017172264946,1758.3304672873444,2807.478816323096
595.941720838244,i,427.5173297233483,1703.6687261379163,2232.324868134204
596.6194429716637,,303.05489542113133,1292.3242226159362,2644.819364803808
597.3275144134418,a,552.0356264387028,777.9502931902458,1906.0858859621003
597.4430752414222,,373.96336083968265,1558.7252555316131,2503.505881900058
597.5300376826801,i,392.2830808529272,1647.6328726370377,2227.658446857355
598.0225252371273,,558.7543908827817,1346.2593244841091,1963.4150773382596
598.5570831164046,a,661.8646009400447,1646.3346459846093,1714.4611840207235
598.6707653183544,,379.33416475723254,1038.7344442638348,1839.7634847622999
598.7422377366197,i,417.0074334626738,1025.5213712016684,2296.466117106013
609.8340997011127,,531.2990460329464,1324.5545848479285,2144.53661197601
620.9486972897598,a,763.4427422303784,1562.9393481107543,2038.0231164337874
621.0700437601477,,513.9389593371656,1715.755795697586,2411.4258468211915
621.1639626036671,i,361.43536226062355,1661.9961148353143,2343.952123752078
621.587377363932,,894.4899673341495,2127.865351895308,2818.764124958113
622.0523491346037,a,692.5688926717876,1382.5044866103178,1791.4870571710499
622.1687087637428,,420.7915776309338,1754.879099784117,2790.5582562777977
622.2568096258052,i,343.8787911262559,1989.056386306334,2468.186587297952
622.6568771406586,,588.2449538082266,1112.1981609250997,2340.147568861834
623.0767688886245,a,722.7336053132835,1413.3532676744016,1969.6472034051321
623.193513304897,,587.1254848874963,1685.6005908920954,2499.485321358397
623.2774430744335,i,406.19676873294526,2349.5796610653515,2917.332741574391
626.8324477200342,,1163.5241309689623,1627.8931942651348,2201.9747449820616
630.4184969915573,a,731.8968630978709,1274.57446550727,1862.8909847068046
630.5188340844618,,418.6279899773542,1129.177618706392,1670.4361531878064
630.5995932080191,e,392.7533438032803,1191.1755727902653,2332.8710526314603
631.0485893041401,,506.4751371812291,857.8981479098973,1900.7831213544978
631.5122688772717,a,727.1566801657463,1498.5746704910146,2098.3738343600403
631.6240264522953,,404.609348297775,1543.2272415188568,2224.0884188594164
631.7194690528629,e,420.7946521384949,2236.530030114312,2428.4872626067113
632.0791031327116,,259.5600882595549,1213.33164004248,2177.3744625644226
632.4626709722575,a,717.6205156280262,1483.885226552926,1514.1296983079922
632.5649012178583,,439.37361712233866,1440.579109607125,2390.5738492328546
632.6463529582557,e,431.98249757475884,1193.3031041316754,2259.6393473634753
645.3794691255214,,820.4985324276925,1717.7645792801347,2555.9125004337034
658.1413058044238,a,831.2779216278608,1655.2245478665493,2004.9015919244573
658.2636065469026,,546.1629436997838,722.5893834525544,1754.435010347834
658.3626969294949,e,427.1424441335075,1599.2241848536016,2404.155147067579
658.7006990002612,,628.2564550504304,1272.5475952110587,2134.6055444981052
659.0525226248591,a,781.9844214683428,1415.640768774718,1626.5700754448756
659.1701905302517,,463.3993065443873,935.1562656899661,1892.5108195220546
659.2717743334683,e,423.21239341722344,998.6727801295098,2345.892635167424
659.5718746627022,,772.2995312205101,1352.79454220137,2370.7349780318095
659.8854425416047,a,757.1971050861422,1405.297012042596,1748.0913153233032
660.0031874044239,,428.75573427170815,1461.145901902429,1882.1325398903514
660.1075878494571,e,414.44439173654416,1230.8797935065368,2390.835524877387
666.1983728908951,,1075.910035651475,1804.4582900602336,2703.997231981562
