vowel,duration,word,num_syl,syl_in_word,part_of_speech,part_of_word,first,final,nasal
a,0.1017685010406808, kpal  ,1,1,V,root,no,no,not nasal
a,0.09641226414382231, kpal,1,1,V,root,no,no,not nasal
a,0.09641226414379389, kpal  ,1,1,V,root,no,no,not nasal
a,0.11722155231788634,pa,1,1,V,root,no,yes,not nasal
a,0.12584078410594657,pa,1,1,V,root,no,yes,not nasal
a,0.11549770596025155,pa,1,1,V,root,no,yes,not nasal
ɔ,0.08038235912962932, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.08200583386945937, ɔpa,2,2,N,root,no,yes,not nasal
ɔ,0.090871329422896, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.08422220775781852, ɔpa,2,2,N,root,no,yes,not nasal
ɔ,0.09530407719961431, ɔpa  ,1,2,N,pref,yes,no,not nasal
a,0.06649121665088842, ɔpa,2,2,N,root,no,yes,not nasal
ɛ,0.12971943841060352, ŋmɛ  ,1,1,V,root,no,yes,nasal
ɛ,0.09530407719961431, ŋmɛ,1,1,V,root,no,yes,nasal
ɛ,0.09795141267738927, ŋmɛ  ,1,1,V,root,no,yes,nasal
ə,0.07511044843897707, gəŋməl  ,1,2,N,pref,no,no,nasal
ə,0.08262149328288615, gəŋməl,2,2,N,root,no,no,not nasal
ə,0.067599403595068, gəŋməl  ,1,2,N,pref,no,no,nasal
ə,0.07511044843897707, gəŋməl,2,2,N,root,no,no,not nasal
ə,0.08637701570478384, gəŋməl  ,1,2,N,pref,no,no,nasal
ə,0.06947716480607369, gəŋməl,2,2,N,root,no,no,not nasal
ə,0.04131074664138623, gəbəl  ,1,2,N,pref,no,no,not nasal
ə,0.058210597540210074, gəbəl,2,2,N,root,no,no,not nasal
ə,0.052577313907249845, gəbəl  ,1,2,N,pref,no,no,not nasal
ə,0.050699552696301, gəbəl,2,2,N,root,no,no,not nasal
i,0.11497439545883026, bili  ,1,2,V,root,no,no,not nasal
i,0.05365471788081777, bili,2,2,V,root,no,yes,not nasal
i,0.11752938202459973, bili  ,1,2,V,root,no,no,not nasal
i,0.07409461040680299, bili,2,2,V,root,no,yes,not nasal
i,0.10832527379375279, bili  ,1,2,V,root,no,no,not nasal
i,0.10195319886474863, bili,2,2,V,root,no,yes,not nasal
